token	index	count
<PAD>	0	0
<START>	1	0
<END>	2	0
<UNK>	3	0
no	4	2410
acute	5	1774
cardiopulmonary	6	1231
disease	7	805
of	8	717
the	9	649
abnormality	10	626
and	11	445
normal	12	423
right	13	421
pulmonary	14	395
findings	15	358
left	16	356
with	17	356
or	18	317
chest	19	312
lungs	20	309
is	21	309
clear	22	290
heart	23	276
pleural	24	270
active	25	269
size	26	267
process	27	254
lung	28	251
evidence	29	231
in	30	216
are	31	216
stable	32	202
atelectasis	33	197
to	34	184
effusion	35	183
cardiomegaly	36	171
for	37	167
abnormalities	38	151
lobe	39	149
airspace	40	144
mild	41	141
edema	42	140
mediastinal	43	135
be	44	133
focal	45	126
upper	46	123
may	47	121
effusions	48	120
without	49	118
within	50	116
pneumothorax	51	114
limits	52	114
radiographic	53	112
pneumonia	54	106
a	55	105
opacities	56	102
consolidation	57	100
identified	58	99
changes	59	99
small	60	99
there	61	96
negative	62	96
lower	63	93
bilateral	64	91
basilar	65	91
opacity	66	84
interstitial	67	83
this	68	83
seen	69	83
on	70	82
base	71	80
calcified	72	78
scarring	73	77
low	74	76
infiltrate	75	75
represent	76	73
volumes	77	71
contour	78	70
further	79	68
nodules	80	66
chronic	81	64
silhouette	82	63
comparison	83	61
prior	84	59
thoracic	85	59
lateral	86	58
if	87	57
emphysema	88	55
minimal	89	55
exam	90	52
bibasilar	91	52
otherwise	92	52
at	93	49
versus	94	49
cardiac	95	47
change	96	47
from	97	46
appearance	98	46
as	99	45
rib	100	44
evaluation	101	44
spine	102	44
which	103	43
nodule	104	43
aorta	105	43
could	106	42
ct	107	42
tuberculosis	108	42
not	109	42
interval	110	41
radiograph	111	41
patchy	112	41
definite	113	41
unremarkable	114	40
unchanged	115	40
hilar	116	40
most	117	39
subsegmental	118	39
recommend	119	38
air	120	38
previous	121	37
finding	122	37
midlung	123	37
large	124	36
fractures	125	35
noted	126	35
consistent	127	35
compatible	128	35
degenerative	129	34
infection	130	34
appear	131	34
increased	132	33
granuloma	133	33
vascular	134	33
granulomatous	135	33
masses	136	33
study	137	33
appears	138	33
prominent	139	32
fracture	140	32
patient	141	31
followup	142	30
but	143	30
tip	144	30
cm	145	30
aortic	146	30
vasculature	147	30
enlarged	148	29
middle	149	29
nodular	150	29
copd	151	28
would	152	28
catheter	153	28
mm	154	28
mildly	155	28
costophrenic	156	27
moderate	157	26
cardiomediastinal	158	26
apical	159	26
perihilar	160	26
infiltrates	161	26
tortuous	162	26
possible	163	26
space	164	26
resolution	165	25
recommended	166	25
old	167	25
central	168	25
posterior	169	25
borderline	170	24
vascularity	171	24
deformity	172	24
since	173	24
typical	174	24
hemidiaphragm	175	24
hiatal	176	24
hernia	177	24
view	178	24
anterior	179	24
hyperexpanded	180	23
alveolar	181	23
clinical	182	23
streaky	183	23
some	184	22
crowding	185	22
probable	186	22
consider	187	22
suggestive	188	22
density	189	21
hypoinflation	190	21
lymph	191	21
due	192	21
contours	193	21
structures	194	21
granulomas	195	21
hyperinflated	196	21
fibrosis	197	20
congestion	198	20
volume	199	20
imaging	200	20
possibly	201	20
bony	202	20
limited	203	20
mid	204	20
available	205	20
slightly	206	19
grossly	207	19
visible	208	19
bronchovascular	209	19
suggest	210	19
correlation	211	19
mediastinum	212	19
emphysematous	213	19
scan	214	19
these	215	18
than	216	18
secondary	217	18
suspicious	218	18
abdomen	219	18
an	220	18
clinically	221	18
superimposed	222	18
failure	223	18
adenopathy	224	18
over	225	18
differential	226	17
scattered	227	17
markings	228	17
persistent	229	17
significant	230	17
shoulder	231	17
5	232	17
intrathoracic	233	17
mass	234	16
by	235	16
enlargement	236	16
slight	237	16
associated	238	16
question	239	16
examination	240	16
thickening	241	16
calcifications	242	16
elevated	243	15
overt	244	15
prominence	245	15
helpful	246	15
appearing	247	15
multiple	248	15
hypertension	249	15
before	250	15
displaced	251	14
however	252	14
lobar	253	14
2	254	14
history	255	14
vertebral	256	14
indicated	257	14
blunting	258	14
film	259	14
metastatic	260	14
approximately	261	14
can	262	14
svc	263	14
sternotomy	264	14
contrast	265	13
above	266	13
related	267	13
preoperative	268	13
specifically	269	13
venous	270	13
body	271	13
characterization	272	13
diagnosis	273	13
greater	274	12
more	275	12
radiographs	276	12
films	277	12
improved	278	12
representing	279	12
soft	280	12
concerning	281	12
overall	282	12
given	283	12
represents	284	12
abnormal	285	12
overlying	286	12
retrocardiac	287	12
medial	288	12
reflect	289	12
fluid	290	12
level	291	12
underlying	292	12
midthoracic	293	11
known	294	11
region	295	11
tissue	296	11
residual	297	11
through	298	11
distal	299	11
demonstrated	300	11
calcification	301	11
parenchymal	302	11
bases	303	11
correlate	304	11
osseous	305	11
ribs	306	11
please	307	11
projecting	308	11
technique	309	11
severe	310	11
exclude	311	10
lingular	312	10
chf	313	10
measuring	314	10
critical	315	10
suggesting	316	10
near	317	10
concern	318	10
up	319	10
bilaterally	320	10
