token	index	count
<PAD>	0	0
<START>	1	0
<END>	2	0
<UNK>	3	0
the	4	9173
no	5	6627
are	6	6377
is	7	6376
normal	8	5249
and	9	4081
pleural	10	3723
or	11	3620
pneumothorax	12	3598
of	13	3587
there	14	3479
effusion	15	3374
heart	16	3191
lungs	17	2925
size	18	2892
focal	19	2611
within	20	2292
clear	21	2236
limits	22	2219
in	23	2132
pulmonary	24	1796
consolidation	25	1614
silhouette	26	1465
right	27	1291
mediastinal	28	1247
airspace	29	1211
cardiomediastinal	30	1206
left	31	1122
acute	32	1054
lung	33	969
with	34	936
stable	35	907
changes	36	882
spine	37	881
disease	38	877
mediastinum	39	875
unremarkable	40	860
structures	41	848
thoracic	42	822
bony	43	799
contours	44	788
contour	45	757
a	46	733
degenerative	47	704
without	48	671
mild	49	661
large	50	655
seen	51	647
appear	52	602
osseous	53	601
vascularity	54	599
effusions	55	589
opacity	56	586
calcified	57	583
cardiac	58	579
intact	59	551
for	60	541
abnormality	61	539
evidence	62	523
upper	63	499
visualized	64	483
opacities	65	457
to	66	449
vasculature	67	443
aorta	68	424
lateral	69	421
lobe	70	419
noted	71	416
chest	72	411
identified	73	384
volumes	74	361
bilaterally	75	352
air	76	344
lower	77	339
atelectasis	78	332
infiltrate	79	322
present	80	322
low	81	309
findings	82	303
grossly	83	293
edema	84	282
prior	85	282
on	86	282
free	87	276
appearance	88	263
granuloma	89	259
bilateral	90	257
space	91	252
rib	92	240
enlarged	93	232
unchanged	94	232
hilar	95	229
base	96	229
scarring	97	228
pneumothoraces	98	225
small	99	225
soft	100	220
both	101	219
nodules	102	214
thorax	103	212
otherwise	104	202
interval	105	200
expanded	106	199
interstitial	107	198
visible	108	197
negative	109	195
pneumonia	110	191
cardiomegaly	111	191
abnormalities	112	190
areas	113	181
mildly	114	178
vascular	115	176
definite	116	174
aortic	117	173
not	118	170
granulomatous	119	170
at	120	169
tortuous	121	167
infiltrates	122	167
frontal	123	158
masses	124	158
which	125	157
view	126	157
from	127	155
central	128	155
tissues	129	154
examination	130	153
appears	131	152
atherosclerotic	132	152
suspicious	133	151
hemidiaphragm	134	150
chronic	135	144
may	136	144
overlying	137	144
hyperexpanded	138	143
fractures	139	142
consistent	140	141
increased	141	140
minimal	142	140
this	143	136
midline	144	135
sternotomy	145	134
spaces	146	134
suggest	147	130
fracture	148	130
trachea	149	129
lymph	150	129
costophrenic	151	128
show	152	128
granulomas	153	127
an	154	126
patient	155	125
calcifications	156	125
clips	157	124
markings	158	123
tip	159	121
density	160	120
specifically	161	120
alveolar	162	119
surgical	163	119
again	164	118
cardio	165	118
be	166	118
has	167	117
skeletal	168	117
prominent	169	116
basilar	170	115
scattered	171	113
have	172	112
views	173	112
posterior	174	111
represent	175	110
bronchovascular	176	110
crowding	177	110
displaced	178	105
anterior	179	103
patchy	180	102
nodule	181	102
silhouettes	182	101
bibasilar	183	100
diaphragm	184	99
typical	185	98
midlung	186	95
normally	187	93
adenopathy	188	92
inflated	189	90
bone	190	90
catheter	191	89
moderate	192	87
nodular	193	86
spondylosis	194	85
previous	195	85
calcification	196	85
change	197	84
abdomen	198	83
compatible	199	82
tortuosity	200	80
cm	201	80
consolidations	202	80
body	203	80
over	204	79
blunting	205	78
old	206	78
exam	207	78
mid	208	77
study	209	77
been	210	76
prominence	211	76
but	212	76
obtained	213	76
deformity	214	75
vertebral	215	75
streaky	216	74
tissue	217	74
fluid	218	72
emphysema	219	69
radiographs	220	69
multiple	221	68
than	222	67
configuration	223	67
bases	224	67
demonstrated	225	67
apex	226	66
elevation	227	66
well	228	66
limited	229	65
hyperinflated	230	64
consists	231	63
osteophytes	232	63
hernia	233	63
area	234	63
hypoinflated	235	63
also	236	62
significant	237	61
mm	238	60
was	239	60
compared	240	59
as	241	59
subsegmental	242	59
pa	243	59
middle	244	57
under	245	57
diffuse	246	56
greater	247	56
intraperitoneal	248	56
reveal	249	55
region	250	55
remain	251	55
multilevel	252	55
throughout	253	55
age	254	52
widening	255	52
hiatal	256	51
thoracolumbar	257	51
slightly	258	50
demonstrate	259	50
thickening	260	49
cabg	261	49
2	262	49
perihilar	263	49
ap	264	49
remains	265	49
cervical	266	48
apical	267	48
disc	268	48
svc	269	48
versus	270	48
eventration	271	48
arthritic	272	48
densities	273	48
any	274	48
evaluation	275	47
flattening	276	47
postsurgical	277	47
clavicle	278	47
emphysematous	279	46
most	280	46
were	281	46
borderline	282	45
hyperinflation	283	45
superior	284	45
images	285	45
projecting	286	45
distal	287	45
venous	288	44
junction	289	44
leads	290	44
process	291	43
mass	292	43
ribs	293	43
some	294	43
due	295	43
enlargement	296	43
diaphragms	297	41
significantly	298	41
biapical	299	41
elevated	300	40
along	301	40
secondary	302	40
appearing	303	39
endplate	304	39
quadrant	305	39
could	306	38
similar	307	38
represents	308	38
hyperexpansion	309	37
scoliosis	310	37
near	311	37
medial	312	37
projection	313	37
