token	index	count
<PAD>	0	0
<START>	1	0
<END>	2	0
<UNK>	3	0
no	4	4709
acute	5	3461
cardiopulmonary	6	2461
disease	7	1594
of	8	1457
the	9	1283
abnormality	10	1211
and	11	848
right	12	825
normal	13	814
with	14	730
pulmonary	15	715
findings	16	711
left	17	690
chest	18	618
lungs	19	618
or	20	599
is	21	591
clear	22	569
active	23	542
lung	24	519
heart	25	512
pleural	26	502
process	27	497
size	28	495
evidence	29	489
stable	30	439
in	31	431
are	32	426
atelectasis	33	389
to	34	374
effusion	35	373
cardiomegaly	36	357
for	37	355
abnormalities	38	310
lobe	39	297
airspace	40	292
mild	41	287
be	42	268
mediastinal	43	267
edema	44	264
focal	45	255
without	46	244
may	47	244
within	48	239
upper	49	239
limits	50	233
negative	51	220
effusions	52	219
radiographic	53	217
pneumonia	54	212
a	55	207
pneumothorax	56	205
identified	57	201
opacities	58	197
changes	59	195
consolidation	60	194
there	61	191
lower	62	186
interstitial	63	185
small	64	177
basilar	65	173
seen	66	168
bilateral	67	166
low	68	165
opacity	69	161
on	70	161
this	71	157
volumes	72	155
base	73	145
contour	74	143
infiltrate	75	142
represent	76	137
further	77	134
scarring	78	133
calcified	79	131
silhouette	80	129
chronic	81	129
comparison	82	120
otherwise	83	116
minimal	84	116
lateral	85	116
nodules	86	113
if	87	111
bibasilar	88	109
emphysema	89	107
thoracic	90	107
prior	91	103
appearance	92	103
rib	93	94
cardiac	94	94
versus	95	94
at	96	92
change	97	89
exam	98	88
which	99	88
evaluation	100	88
ct	101	87
unchanged	102	86
interval	103	85
not	104	84
could	105	83
from	106	82
tuberculosis	107	82
nodule	108	81
recommend	109	79
as	110	78
consistent	111	77
subsegmental	112	77
aorta	113	76
compatible	114	76
unremarkable	115	75
hilar	116	75
air	117	75
definite	118	74
fractures	119	72
most	120	72
spine	121	72
midlung	122	72
prominent	123	71
patchy	124	70
radiograph	125	69
degenerative	126	68
appear	127	68
noted	128	67
finding	129	67
granuloma	130	65
vascular	131	65
large	132	65
study	133	65
previous	134	63
infection	135	63
fracture	136	63
followup	137	62
moderate	138	62
recommended	139	60
appears	140	59
masses	141	59
view	142	58
mildly	143	58
granulomatous	144	57
increased	145	56
but	146	56
patient	147	56
hemidiaphragm	148	55
vasculature	149	55
central	150	54
copd	151	54
middle	152	54
mm	153	54
aortic	154	54
hyperexpanded	155	53
infiltrates	156	53
resolution	157	52
tip	158	52
anterior	159	52
apical	160	51
possibly	161	51
would	162	50
catheter	163	50
possible	164	50
space	165	50
costophrenic	166	49
adenopathy	167	49
mass	168	48
posterior	169	48
nodular	170	48
tortuous	171	48
old	172	47
crowding	173	47
cardiomediastinal	174	46
enlarged	175	45
hypoinflation	176	45
due	177	45
since	178	45
alveolar	179	45
typical	180	45
hyperinflated	181	45
borderline	182	44
vascularity	183	44
some	184	44
bony	185	44
limited	186	44
secondary	187	43
congestion	188	43
bronchovascular	189	43
perihilar	190	43
suggestive	191	43
mediastinum	192	43
visible	193	42
cm	194	42
consider	195	42
failure	196	41
clinical	197	41
imaging	198	40
an	199	40
structures	200	40
density	201	39
deformity	202	39
than	203	39
grossly	204	39
contours	205	39
streaky	206	39
fibrosis	207	38
prominence	208	38
helpful	209	38
granulomas	210	38
significant	211	36
mid	212	36
hiatal	213	36
hernia	214	36
clinically	215	36
probable	216	36
slightly	217	35
markings	218	35
thickening	219	35
correlation	220	35
examination	221	35
contrast	222	34
elevated	223	34
volume	224	34
enlargement	225	33
lymph	226	33
associated	227	33
shoulder	228	33
over	229	33
these	230	32
suspicious	231	32
persistent	232	32
question	233	32
available	234	32
intrathoracic	235	31
level	236	31
medial	237	30
blunting	238	30
emphysematous	239	30
scan	240	30
by	241	29
known	242	29
2	243	29
abdomen	244	29
improved	245	29
suggest	246	29
superimposed	247	29
however	248	28
related	249	28
preoperative	250	28
indicated	251	28
specifically	252	28
5	253	28
calcifications	254	28
sternotomy	255	28
differential	256	27
soft	257	27
venous	258	27
overlying	259	27
ribs	260	27
projecting	261	27
displaced	262	26
lobar	263	26
greater	264	26
slight	265	26
represents	266	26
vertebral	267	26
scattered	268	25
above	269	25
visualized	270	25
tissue	271	25
concerning	272	25
injury	273	24
region	274	24
representing	275	24
1	276	24
film	277	24
appearing	278	24
can	279	24
underlying	280	24
films	281	23
history	282	23
given	283	23
overall	284	23
pa	285	23
body	286	23
primordial	287	23
approximately	288	23
technique	289	23
osseous	290	23
clavicle	291	23
before	292	23
apex	293	22
retrocardiac	294	22
abnormal	295	22
malignancy	296	22
distal	297	22
infectious	298	22
postsurgical	299	22
pericardial	300	21
worsening	301	21
overt	302	21
radiographs	303	21
compared	304	21
critical	305	21
clips	306	21
near	307	21
bilaterally	308	21
diagnosis	309	21
reflect	310	21
calcification	311	21
very	312	21
tube	313	20
area	314	20
result	315	20
hypertension	316	20
atypical	317	20
demonstrated	318	20
bases	319	20
continued	320	20
