ngram,count,frequency_pct
no acute,1996,5.768285986764153
acute cardiopulmonary,1471,4.25107649625755
cardiopulmonary abnormality,637,1.8408808484813455
heart size,298,0.8611970060399387
cardiopulmonary disease,293,0.8467473918446378
evidence of,289,0.8351877004883969
active disease,246,0.7109210184088085
cardiopulmonary process,242,0.6993613270525677
no evidence,241,0.6964714042135075
of the,234,0.6762419443400861
cardiopulmonary findings,225,0.6502326387885443
in the,185,0.5346357252261364
pleural effusion,184,0.5317458023870762
cardiopulmonary abnormalities,175,0.5057364968355345
clear lungs,165,0.4768372684449325
no active,165,0.4768372684449325
acute pulmonary,160,0.4623876542496315
acute disease,154,0.4450481172152704
airspace disease,141,0.4074791203074878
of active,137,0.395919428951247
normal limits,127,0.367020200560645
lungs are,127,0.367020200560645
the right,122,0.35257058636534405
are clear,121,0.34968066352628385
within normal,119,0.34390081784816345
xxxx xxxx,116,0.33523104933098286
size is,112,0.32367135797474206
is normal,108,0.31211166661850126
there is,103,0.2976620524232003
lung volumes,102,0.2947721295841401
pulmonary disease,100,0.2889922839060197
no focal,100,0.2889922839060197
the left,99,0.2861023610669595
acute findings,99,0.2861023610669595
of acute,98,0.2832124382278993
low lung,98,0.2832124382278993
acute abnormality,98,0.2832124382278993
acute radiographic,95,0.2745426697107187
radiographic cardiopulmonary,95,0.2745426697107187
pulmonary edema,94,0.2716527468716585
abnormality identified,93,0.2687628240325983
normal chest,88,0.2543132098372973
lower lobe,87,0.2514232869982372
mediastinal contour,86,0.24853336415917696
pleural effusions,85,0.24564344132011676
negative for,82,0.23697367280293616
without acute,81,0.234083749963876
for acute,81,0.234083749963876
may be,76,0.21963413576857496
upper lobe,75,0.2167442129295148
size normal,74,0.21385429009045462
xxxx of,69,0.1994046758951536
no xxxx,69,0.1994046758951536
limits no,66,0.19073490737797302
clear no,66,0.19073490737797302
normal lungs,64,0.18495506169985262
may represent,62,0.17917521602173223
the chest,61,0.17628529318267203
right upper,61,0.17628529318267203
or pneumothorax,59,0.17050544750455163
effusion or,57,0.16472560182643123
left basilar,56,0.16183567898737103
contour within,54,0.15605583330925063
and clear,52,0.15027598763113023
is no,52,0.15027598763113023
mild cardiomegaly,51,0.14738606479207006
no pneumothorax,50,0.14449614195300986
consistent with,50,0.14449614195300986
chest no,49,0.14160621911394966
lungs mediastinal,48,0.13871629627488946
on the,47,0.13582637343582926
consolidation no,47,0.13582637343582926
the lungs,47,0.13582637343582926
bilateral pleural,46,0.13293645059676906
left base,46,0.13293645059676906
right lung,45,0.13004652775770886
disease no,45,0.13004652775770886
with no,44,0.12715660491864866
cardiomegaly without,44,0.12715660491864866
no definite,44,0.12715660491864866
subsegmental atelectasis,44,0.12715660491864866
radiographic evidence,44,0.12715660491864866
left lower,43,0.12426668207958848
stable cardiomegaly,43,0.12426668207958848
cardiomegaly with,43,0.12426668207958848
no radiographic,43,0.12426668207958848
left lung,42,0.12137675924052828
findings of,42,0.12137675924052828
of pulmonary,42,0.12137675924052828
compatible with,42,0.12137675924052828
normal and,42,0.12137675924052828
or pleural,41,0.11848683640146808
pulmonary abnormality,41,0.11848683640146808
cardiopulmonary finding,40,0.11559691356240788
further evaluation,40,0.11559691356240788
right lower,40,0.11559691356240788
appearance of,39,0.11270699072334768
acute process,39,0.11270699072334768
active cardiopulmonary,39,0.11270699072334768
no pleural,39,0.11270699072334768
volumes with,38,0.10981706788428748
size and,38,0.10981706788428748
lung base,37,0.10692714504522731
changes of,36,0.10403722220616711
chest radiograph,36,0.10403722220616711
left upper,36,0.10403722220616711
atelectasis or,35,0.10114729936710691
no effusions,35,0.10114729936710691
basilar atelectasis,34,0.09825737652804671
otherwise no,34,0.09825737652804671
thoracic spine,34,0.09825737652804671
definite pleural,34,0.09825737652804671
effusion seen,34,0.09825737652804671
effusions no,33,0.09536745368898651
for further,33,0.09536745368898651
pulmonary vasculature,33,0.09536745368898651
lungs no,33,0.09536745368898651
negative chest,33,0.09536745368898651
within the,32,0.09247753084992631
the heart,31,0.08958760801086611
focal airspace,30,0.08669768517180591
typical findings,30,0.08669768517180591
right middle,30,0.08669768517180591
suggestive of,30,0.08669768517180591
xxxx and,30,0.08669768517180591
stable appearance,29,0.08380776233274571
cardiomediastinal silhouette,29,0.08380776233274571
right basilar,29,0.08380776233274571
bronchovascular crowding,29,0.08380776233274571
at the,29,0.08380776233274571
right pleural,29,0.08380776233274571
normal heart,29,0.08380776233274571
costophrenic xxxx,29,0.08380776233274571
are within,28,0.08091783949368551
this may,28,0.08091783949368551
which may,28,0.08091783949368551
due to,28,0.08091783949368551
cardiomegaly and,28,0.08091783949368551
hiatal hernia,28,0.08091783949368551
cardiomegaly no,28,0.08091783949368551
with xxxx,28,0.08091783949368551
is recommended,27,0.07802791665462532
edema no,27,0.07802791665462532
airspace consolidation,27,0.07802791665462532
comparison xxxx,27,0.07802791665462532
and lungs,27,0.07802791665462532
mediastinal silhouette,27,0.07802791665462532
air space,27,0.07802791665462532
and pulmonary,26,0.07513799381556512
secondary to,26,0.07513799381556512
vascular congestion,26,0.07513799381556512
lung disease,26,0.07513799381556512
lungs clear,26,0.07513799381556512
with mild,26,0.07513799381556512
acute or,26,0.07513799381556512
stable chest,26,0.07513799381556512
middle lobe,26,0.07513799381556512
acute airspace,26,0.07513799381556512
of tuberculosis,26,0.07513799381556512
opacity in,26,0.07513799381556512
right midlung,26,0.07513799381556512
nodules or,26,0.07513799381556512
could be,26,0.07513799381556512
normal mediastinal,25,0.07224807097650493
or active,25,0.07224807097650493
basilar airspace,25,0.07224807097650493
of pleural,25,0.07224807097650493
or masses,25,0.07224807097650493
pulmonary findings,24,0.06935814813744473
no comparison,24,0.06935814813744473
no edema,24,0.06935814813744473
focal alveolar,24,0.06935814813744473
alveolar consolidation,24,0.06935814813744473
to the,24,0.06935814813744473
bibasilar airspace,24,0.06935814813744473
interstitial edema,24,0.06935814813744473
atelectasis no,23,0.06646822529838453
pulmonary vascularity,23,0.06646822529838453
lobe airspace,23,0.06646822529838453
no visible,23,0.06646822529838453
active cardiac,23,0.06646822529838453
the xxxx,23,0.06646822529838453
left pleural,23,0.06646822529838453
and right,23,0.06646822529838453
would be,23,0.06646822529838453
rib fractures,22,0.06357830245932433
opacities in,22,0.06357830245932433
comparison chest,22,0.06357830245932433
since the,22,0.06357830245932433
and left,22,0.06357830245932433
the thoracic,22,0.06357830245932433
cardiac pulmonary,22,0.06357830245932433
pulmonary or,22,0.06357830245932433
pleural disease,22,0.06357830245932433
be helpful,22,0.06357830245932433
the lateral,22,0.06357830245932433
right hemidiaphragm,22,0.06357830245932433
no pulmonary,22,0.06357830245932433
focal air,22,0.06357830245932433
at xxxx,21,0.06068837962026414
is a,21,0.06068837962026414
and the,21,0.06068837962026414
xxxx chest,21,0.06068837962026414
no nodules,21,0.06068837962026414
upper limits,21,0.06068837962026414
hyperexpanded lungs,21,0.06068837962026414
mediastinal contours,21,0.06068837962026414
evidence for,21,0.06068837962026414
acute intrathoracic,21,0.06068837962026414
cardiac silhouette,20,0.05779845678120394
hypoinflation with,20,0.05779845678120394
small bilateral,20,0.05779845678120394
the previous,20,0.05779845678120394
lateral view,20,0.05779845678120394
granulomatous disease,20,0.05779845678120394
edema or,20,0.05779845678120394
from xxxx,20,0.05779845678120394
pulmonary nodules,20,0.05779845678120394
lobe pneumonia,20,0.05779845678120394
opacities xxxx,20,0.05779845678120394
left midlung,20,0.05779845678120394
chest and,19,0.05490853394214374
most xxxx,19,0.05490853394214374
otherwise clear,19,0.05490853394214374
xxxx acute,19,0.05490853394214374
heart failure,19,0.05490853394214374
this is,19,0.05490853394214374
to be,19,0.05490853394214374
metastatic disease,19,0.05490853394214374
intrathoracic abnormality,19,0.05490853394214374
consolidation or,18,0.052018611103083555
effusions or,18,0.052018611103083555
chronic changes,18,0.052018611103083555
size within,18,0.052018611103083555
xxxx opacities,18,0.052018611103083555
scarring or,18,0.052018611103083555
of right,18,0.052018611103083555
atelectasis versus,18,0.052018611103083555
5 mm,18,0.052018611103083555
lymph xxxx,18,0.052018611103083555
xxxx right,18,0.052018611103083555
space consolidation,18,0.052018611103083555
no typical,18,0.052018611103083555
could represent,17,0.049128688264023355
xxxx deformity,17,0.049128688264023355
interstitial markings,17,0.049128688264023355
no suspicious,17,0.049128688264023355
pleural thickening,17,0.049128688264023355
concerning for,17,0.049128688264023355
active tuberculosis,17,0.049128688264023355
of left,17,0.049128688264023355
xxxx left,17,0.049128688264023355
there are,17,0.049128688264023355
effusion no,17,0.049128688264023355
normal pulmonary,17,0.049128688264023355
right base,17,0.049128688264023355
right hilar,17,0.049128688264023355
nodular opacity,17,0.049128688264023355
of xxxx,17,0.049128688264023355
vasculature appears,17,0.049128688264023355
appears normal,17,0.049128688264023355
disease and,16,0.046238765424963156
greater than,16,0.046238765424963156
be secondary,16,0.046238765424963156
stable mild,16,0.046238765424963156
interstitial opacities,16,0.046238765424963156
acute abnormalities,16,0.046238765424963156
are seen,16,0.046238765424963156
degenerative changes,16,0.046238765424963156
acute preoperative,16,0.046238765424963156
xxxx representing,16,0.046238765424963156
disease left,16,0.046238765424963156
chronic lung,16,0.046238765424963156
small left,16,0.046238765424963156
emphysematous changes,16,0.046238765424963156
lungs with,16,0.046238765424963156
bibasilar atelectasis,16,0.046238765424963156
focal atelectasis,16,0.046238765424963156
as before,16,0.046238765424963156
limits pulmonary,16,0.046238765424963156
normal there,16,0.046238765424963156
vascularity are,15,0.04334884258590296
stable mediastinal,15,0.04334884258590296
focal consolidation,15,0.04334884258590296
grossly clear,15,0.04334884258590296
visible active,15,0.04334884258590296
thoracic aorta,15,0.04334884258590296
xxxx in,15,0.04334884258590296
preoperative findings,15,0.04334884258590296
specifically no,15,0.04334884258590296
xxxx bilateral,15,0.04334884258590296
overlying the,15,0.04334884258590296
or infiltrate,15,0.04334884258590296
differential diagnosis,15,0.04334884258590296
tortuous aorta,15,0.04334884258590296
no pneumonia,15,0.04334884258590296
small pleural,15,0.04334884258590296
contour no,15,0.04334884258590296
of pneumonia,15,0.04334884258590296
the posterior,15,0.04334884258590296
seen no,15,0.04334884258590296
or atelectasis,15,0.04334884258590296
is xxxx,15,0.04334884258590296
and cardiomediastinal,15,0.04334884258590296
silhouette are,15,0.04334884258590296
the cardiac,14,0.04045891974684276
deformity of,14,0.04045891974684276
pulmonary vascular,14,0.04045891974684276
from prior,14,0.04045891974684276
calcified right,14,0.04045891974684276
right apical,14,0.04045891974684276
no effusion,14,0.04045891974684276
emphysema no,14,0.04045891974684276
abnormalities since,14,0.04045891974684276
clinical correlation,14,0.04045891974684276
or scarring,14,0.04045891974684276
related to,14,0.04045891974684276
acute infiltrate,14,0.04045891974684276
identified stable,14,0.04045891974684276
disease or,14,0.04045891974684276
or effusions,14,0.04045891974684276
old granulomatous,14,0.04045891974684276
lobe infiltrate,14,0.04045891974684276
than left,14,0.04045891974684276
in size,14,0.04045891974684276
xxxx atelectasis,14,0.04045891974684276
on lateral,14,0.04045891974684276
pneumonia or,14,0.04045891974684276
xxxx for,14,0.04045891974684276
or pneumonia,14,0.04045891974684276
hilar lymph,14,0.04045891974684276
no airspace,14,0.04045891974684276
