ngram,count,frequency_pct
no acute,2012,5.997555668167049
acute cardiopulmonary,1471,4.384892836915372
cardiopulmonary abnormality,637,1.8988285092556714
heart size,298,0.888305958804066
cardiopulmonary disease,293,0.8734014964080247
evidence of,289,0.8614779264911915
active disease,246,0.7332995498852356
cardiopulmonary process,242,0.7213759799684025
no evidence,241,0.7183950874891942
of the,234,0.6975288401347364
cardiopulmonary findings,225,0.6707008078218618
in the,186,0.5544460011327391
pleural effusion,184,0.5484842161743225
cardiopulmonary abnormalities,175,0.5216561838614482
clear lungs,165,0.4918472590693654
no active,165,0.4918472590693654
acute pulmonary,160,0.476942796673324
acute disease,154,0.4590574417980744
airspace disease,141,0.4203058395683668
of active,137,0.4083822696515337
normal limits,127,0.37857334485945093
lungs are,127,0.37857334485945093
the right,122,0.3636688824634095
are clear,121,0.36068798998420126
within normal,119,0.3547262050257847
size is,112,0.3338599576713268
is normal,109,0.324917280233702
there is,103,0.30703192535845236
lung volumes,102,0.30405103287924407
no focal,101,0.30107014040003577
pulmonary disease,100,0.29808924792082747
the left,99,0.29510835544161923
acute findings,99,0.29510835544161923
of acute,99,0.29510835544161923
low lung,98,0.29212746296241093
acute abnormality,98,0.29212746296241093
acute radiographic,95,0.2831847855247861
radiographic cardiopulmonary,95,0.2831847855247861
pulmonary edema,94,0.28020389304557786
abnormality identified,93,0.27722300056636956
normal chest,88,0.2623185381703282
lower lobe,87,0.2593376456911199
mediastinal contour,86,0.25635675321191165
pleural effusions,85,0.2533758607327034
negative for,82,0.24443318329507852
without acute,81,0.24145229081587027
for acute,81,0.24145229081587027
may be,76,0.2265478284198289
upper lobe,75,0.22356693594062063
size normal,74,0.22058604346141233
limits no,66,0.19673890362774615
clear no,66,0.19673890362774615
normal lungs,64,0.1907771186693296
the chest,62,0.18481533371091305
may represent,62,0.18481533371091305
right upper,61,0.18183444123170475
or pneumothorax,59,0.1758726562732882
effusion or,57,0.16991087131487168
left basilar,56,0.1669299788356634
contour within,54,0.16096819387724687
and clear,52,0.15500640891883027
is no,52,0.15500640891883027
mild cardiomegaly,51,0.15202551643962203
no pneumothorax,50,0.14904462396041374
consistent with,50,0.14904462396041374
chest no,49,0.14606373148120547
lungs mediastinal,48,0.1430828390019972
on the,47,0.14010194652278893
consolidation no,47,0.14010194652278893
the lungs,47,0.14010194652278893
bilateral pleural,46,0.13712105404358063
left base,46,0.13712105404358063
right lung,45,0.1341401615643724
disease no,45,0.1341401615643724
with no,44,0.1311592690851641
cardiomegaly without,44,0.1311592690851641
no definite,44,0.1311592690851641
subsegmental atelectasis,44,0.1311592690851641
radiographic evidence,44,0.1311592690851641
left lower,43,0.12817837660595582
stable cardiomegaly,43,0.12817837660595582
cardiomegaly with,43,0.12817837660595582
no radiographic,43,0.12817837660595582
left lung,42,0.12519748412674755
findings of,42,0.12519748412674755
of pulmonary,42,0.12519748412674755
compatible with,42,0.12519748412674755
normal and,42,0.12519748412674755
or pleural,41,0.12221659164753926
pulmonary abnormality,41,0.12221659164753926
cardiopulmonary finding,40,0.119235699168331
further evaluation,40,0.119235699168331
right lower,40,0.119235699168331
no of,40,0.119235699168331
appearance of,39,0.11625480668912272
acute process,39,0.11625480668912272
active cardiopulmonary,39,0.11625480668912272
no pleural,39,0.11625480668912272
volumes with,38,0.11327391420991445
size and,38,0.11327391420991445
lung base,37,0.11029302173070617
changes of,36,0.10731212925149791
