ngram,count,frequency_pct
no acute cardiopulmonary,1302,4.377942165433759
acute cardiopulmonary abnormality,633,2.128446536650975
acute cardiopulmonary disease,249,0.8372562205783456
no evidence of,227,0.7632817753866846
acute cardiopulmonary findings,225,0.7565568258238062
acute cardiopulmonary abnormalities,175,0.5884330867518494
no acute pulmonary,153,0.5144586415601883
acute cardiopulmonary process,148,0.4976462676529926
no active disease,148,0.4976462676529926
no acute disease,128,0.43039677202420984
evidence of active,122,0.41022192333557495
within normal limits,119,0.4001344989912576
lungs are clear,118,0.39677202420981844
heart size is,112,0.3765971755211836
size is normal,101,0.33960995292535306
of active disease,98,0.32952252858103565
acute radiographic cardiopulmonary,95,0.3194351042367182
no acute findings,94,0.3160726294552791
no acute radiographic,94,0.3160726294552791
radiographic cardiopulmonary process,94,0.3160726294552791
evidence of acute,92,0.3093476798924008
low lung volumes,90,0.3026227303295225
cardiopulmonary abnormality identified,87,0.2925353059852051
acute pulmonary disease,86,0.28917283120376597
of acute cardiopulmonary,80,0.26899798251513113
negative for acute,76,0.25554808338937457
heart size normal,74,0.2488231338264963
normal limits no,66,0.2219233355749832
no acute abnormality,56,0.1882985877605918
in the right,56,0.1882985877605918
mediastinal contour within,54,0.18157363819771352
contour within normal,54,0.18157363819771352
of the chest,54,0.18157363819771352
limits no acute,52,0.17484868863483524
there is no,52,0.17484868863483524
and clear lungs,49,0.16476126429051782
pleural effusion or,49,0.16476126429051782
clear lungs mediastinal,48,0.16139878950907868
lungs mediastinal contour,48,0.16139878950907868
effusion or pneumothorax,48,0.16139878950907868
in the left,47,0.15803631472763954
right upper lobe,47,0.15803631472763954
normal lungs are,44,0.14794889038332212
are clear no,43,0.14458641560188298
no radiographic evidence,43,0.14458641560188298
for acute cardiopulmonary,42,0.14122394082044384
bilateral pleural effusions,41,0.1378614660390047
radiographic evidence of,41,0.1378614660390047
acute cardiopulmonary finding,40,0.13449899125756556
active cardiopulmonary disease,39,0.13113651647612642
right lower lobe,39,0.13113651647612642
