ngram,count,frequency_pct
no,3121,8.352960068515149
acute,2315,6.195803447168397
cardiopulmonary,1620,4.335724226528209
disease,1060,2.8369553580987046
of,926,2.478321378867359
the,839,2.245476929664918
abnormality,814,2.178567605181458
and,555,1.4853870035328125
right,547,1.463976019698105
normal,520,1.3917139492559683
pulmonary,487,1.303393640937801
with,473,1.2659244192270636
left,462,1.236484316454341
findings,457,1.2231024515576492
chest,407,1.089283802590729
or,406,1.0866074296113906
lungs,400,1.0705491917353602
is,395,1.0571673268386683
clear,377,1.008992613210577
active,350,0.9367305427684403
pleural,346,0.9260250508510867
heart,344,0.9206723048924097
lung,339,0.9072904399957178
process,333,0.8912322021196875
size,326,0.8724975912643186
evidence,310,0.8296756235949042
in,294,0.7868536559254898
stable,288,0.7707954180494594
are,267,0.714591585483353
atelectasis,256,0.6851514827106305
to,254,0.6797987367519538
effusion,245,0.6557113799379082
cardiomegaly,240,0.6423295150412162
for,235,0.6289476501445241
abnormalities,204,0.5459800877850337
airspace,199,0.5325982228883417
mild,193,0.5165399850123112
lobe,190,0.5085108660742961
be,176,0.4710416443635585
edema,176,0.4710416443635585
mediastinal,169,0.4523070335081897
without,167,0.4469542875495129
may,163,0.4362487956321593
focal,159,0.42554330371480564
within,154,0.4121614388181137
limits,149,0.3987795739214217
effusions,148,0.3961032009420833
upper,147,0.3934268279627449
radiographic,146,0.39075045498340644
pneumothorax,144,0.3853977090247297
pneumonia,144,0.3853977090247297
a,133,0.3559576062520073
negative,133,0.3559576062520073
identified,130,0.34792848731399206
changes,129,0.3452521143346537
consolidation,128,0.34257574135531527
small,128,0.34257574135531527
opacities,127,0.3398993683759769
there,126,0.33722299539663847
lower,124,0.3318702494379617
bilateral,119,0.31848838454126965
interstitial,117,0.31313563858259286
basilar,115,0.30778289262391606
this,111,0.29707740070656247
low,110,0.2944010277272241
opacity,107,0.2863719087892089
seen,106,0.28369553580987045
volumes,104,0.27834278985119365
base,103,0.2756664168718553
on,103,0.2756664168718553
infiltrate,96,0.25693180601648646
scarring,94,0.25157906005780967
contour,93,0.24890268707847127
represent,93,0.24890268707847127
chronic,88,0.23552082218177925
calcified,86,0.23016807622310242
further,83,0.22213895728508726
silhouette,77,0.20608071940905684
nodules,77,0.20608071940905684
minimal,77,0.20608071940905684
thoracic,77,0.20608071940905684
comparison,76,0.20340434642971847
otherwise,76,0.20340434642971847
bibasilar,75,0.20072797345038004
prior,75,0.20072797345038004
lateral,72,0.19269885451236485
if,71,0.19002248153302645
emphysema,69,0.18466973557434965
versus,66,0.17664061663633443
cardiac,65,0.17396424365699603
appearance,65,0.17396424365699603
exam,63,0.16861149769831923
at,62,0.16593512471898084
rib,61,0.16325875173964244
change,61,0.16325875173964244
not,60,0.16058237876030404
which,59,0.15790600578096564
ct,56,0.14987688684295042
evaluation,56,0.14987688684295042
nodule,55,0.14720051386361205
spine,55,0.14720051386361205
aorta,55,0.14720051386361205
could,54,0.14452414088427362
from,54,0.14452414088427362
as,54,0.14452414088427362
interval,53,0.14184776790493522
tuberculosis,53,0.14184776790493522
finding,52,0.13917139492559683
consistent,51,0.13649502194625843
definite,50,0.13381864896692003
recommend,49,0.13114227598758163
most,49,0.13114227598758163
subsegmental,49,0.13114227598758163
patchy,48,0.12846590300824323
unchanged,48,0.12846590300824323
radiograph,47,0.12578953002890483
vascular,47,0.12578953002890483
large,47,0.12578953002890483
midlung,47,0.12578953002890483
unremarkable,46,0.12311315704956642
fractures,45,0.12043678407022802
hilar,45,0.12043678407022802
fracture,45,0.12043678407022802
compatible,44,0.11776041109088962
air,44,0.11776041109088962
followup,42,0.11240766513221283
prominent,42,0.11240766513221283
moderate,42,0.11240766513221283
tip,42,0.11240766513221283
degenerative,42,0.11240766513221283
previous,42,0.11240766513221283
study,42,0.11240766513221283
increased,41,0.10973129215287442
noted,41,0.10973129215287442
appears,40,0.10705491917353603
infection,40,0.10705491917353603
recommended,39,0.10437854619419762
appear,39,0.10437854619419762
masses,39,0.10437854619419762
but,38,0.10170217321485923
patient,37,0.09902580023552082
granuloma,36,0.09634942725618242
nodular,36,0.09634942725618242
mildly,36,0.09634942725618242
resolution,35,0.09367305427684403
hemidiaphragm,35,0.09367305427684403
would,35,0.09367305427684403
granulomatous,35,0.09367305427684403
aortic,35,0.09367305427684403
enlarged,34,0.09099668129750563
central,34,0.09099668129750563
copd,34,0.09099668129750563
vasculature,34,0.09099668129750563
catheter,34,0.09099668129750563
crowding,33,0.08832030831816721
costophrenic,33,0.08832030831816721
mm,33,0.08832030831816721
cm,32,0.08564393533882882
due,32,0.08564393533882882
old,32,0.08564393533882882
middle,32,0.08564393533882882
view,32,0.08564393533882882
tortuous,32,0.08564393533882882
apical,31,0.08296756235949042
typical,31,0.08296756235949042
infiltrates,31,0.08296756235949042
anterior,31,0.08296756235949042
posterior,31,0.08296756235949042
possible,31,0.08296756235949042
space,31,0.08296756235949042
borderline,30,0.08029118938015202
hyperexpanded,30,0.08029118938015202
cardiomediastinal,30,0.08029118938015202
bronchovascular,30,0.08029118938015202
alveolar,30,0.08029118938015202
possibly,30,0.08029118938015202
suggestive,30,0.08029118938015202
mass,29,0.07761481640081362
since,29,0.07761481640081362
hernia,29,0.07761481640081362
probable,29,0.07761481640081362
streaky,29,0.07761481640081362
consider,29,0.07761481640081362
density,28,0.07493844342147521
vascularity,28,0.07493844342147521
than,28,0.07493844342147521
secondary,28,0.07493844342147521
congestion,28,0.07493844342147521
some,28,0.07493844342147521
visible,28,0.07493844342147521
failure,28,0.07493844342147521
clinical,28,0.07493844342147521
prominence,28,0.07493844342147521
perihilar,28,0.07493844342147521
limited,28,0.07493844342147521
hiatal,28,0.07493844342147521
adenopathy,28,0.07493844342147521
hypoinflation,27,0.07226207044213681
an,27,0.07226207044213681
mediastinum,27,0.07226207044213681
scan,27,0.07226207044213681
deformity,26,0.06958569746279841
fibrosis,25,0.06690932448346001
markings,25,0.06690932448346001
